residencecountry,country_id,country_binary
at,0,000000
az,1,000001
be,2,000010
ch,3,000011
cn,4,000100
co,5,000101
cy,6,000110
de,7,000111
ee,8,001000
eg,9,001001
es,10,001010
fi,11,001011
fr,12,001100
gb,13,001101
ge,14,001110
gr,15,001111
il,16,010000
ir,17,010001
it,18,010010
jp,19,010011
lt,20,010100
lv,21,010101
mx,22,010110
ng,23,010111
nl,24,011000
no,25,011001
nz,26,011010
ph,27,011011
pl,28,011100
ru,29,011101
sa,30,011110
se,31,011111
us,32,100000
other,33,100001
