,brown,grey,black,white,pink,red,yellow,orange,blue,green,purple,turquoise
brown,353,132,79,87,4,30,1,21,7,4,11,11
grey,161,363,101,50,4,10,0,19,19,2,7,4
black,114,211,257,45,10,59,0,18,16,4,5,1
white,100,45,16,373,57,8,1,47,25,21,8,40
pink,72,23,9,98,262,21,3,154,6,26,13,53
red,61,12,43,42,108,325,5,109,2,12,4,16
yellow,100,50,27,78,235,47,6,129,6,13,10,40
orange,102,28,12,97,236,40,4,156,3,15,6,41
blue,74,107,14,274,79,11,1,66,42,18,11,43
green,103,19,24,213,134,39,0,89,9,36,9,65
purple,141,111,40,166,83,27,1,84,32,13,7,35
turquoise,81,34,5,223,172,7,1,105,15,24,13,59
